		GSM17378	GSM17379	GSM17380	GSM17381	GSM17382	GSM17383	GSM17384	GSM17385	GSM17386	GSM17387	GSM17388	GSM17389	GSM17390	GSM17391	GSM17392	GSM45690	GSM45691	GSM45692	GSM45693	GSM45706	GSM45707	GSM45708	GSM45709	GSM146345	GSM146346	GSM146347	GSM146348	GSM146349	GSM146350	GSM146351	GSM146352	GSM146353	GSM146354
		CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CONTROL	CONTROL	CONTROL	CONTROL	CASE	CASE	CASE	CASE	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CASE	CASE	CASE	CASE	CASE
Cnih2	cornichon homolog 2 (Drosophila)	32.1	36.3	35.4	37.5	26.5	37.6	20.5	36.6	41.0	35.3	43.8	38.1	22.6	23.8	31.4	37.7	23.7	36.7	40.2	30.3	34.3	27.3	29.9	21.84457097	46.43774885	79.34472192	79.85130959	117.4734107	22.61119183	39.51428656	22.38186871	37.90862358	39.93416177
Cpne6	copine VI	136.0	99.0	74.1	152.6	98.0	39.7	42.8	170.2	117.5	80.1	91.8	145.8	32.0	57.9	67.8	102.7	120.1	42.4	144.2	134.0	67.5	135.2	90.9	71.53417235	125.3832382	114.1766891	188.5005035	64.20510466	88.68539075	64.8483248	59.73853004	115.4724428	125.9733265
Ehf	ets homologous factor	30.9	4.9	13.2	3.6	15.9	11.7	5.4	12.3	12.8	9.6	13.8	17.3	4.3	11.8	5.6	10.7	6.2	10.6	19.2	15.5	42.4	7.1	7.2	21.0747535533	10.0017318263	6.073158809	6.315375281	6.16908219633	11.672782734	9.00537215333	25.23451551	31.938673587	11.3915737853
Oprd1	opioid receptor, delta 1	20.1	22.4	49.8	15.9	72.3	23.1	56.8	38.9	26.0	17.2	84.9	18.3	14.5	80.9	24.6	16.6	76.0	30.0	60.1	31.0	23.9	85.8	82.0	28.06764654	27.21136166	25.18116765	19.50211648	28.13596542	25.84412959	21.21904495	22.33296312	31.18714782	32.26381861
C77370	expressed sequence C77370	5.7	47.1	32.9	43.1	8.0	26.8	22.0	18.3	30.0	54.6	7.8	33.4	29.1	17.1	24.7	11.9	27.9	11.3	4.5	14.2	12.0	35.5	36.0	14.0016428235	10.86402222	16.609937766	11.684403312	35.579318145	31.2402641745	37.211070045	10.311354801	35.43888338	21.659969271
Selp	selectin, platelet	26.2	27.1	21.2	24.2	24.2	27.4	16.9	24.2	25.5	18.2	27.8	34.2	27.2	29.3	23.0	17.3	35.1	28.4	22.3	18.3	20.6	26.4	19.9	82.251277024	89.99448738	94.09455182	185.27227606	385.4057519	34.3849871	101.626425	60.92224885	92.4478952355	22.2266001995
Indo	indoleamine-pyrrole 2,3 dioxygenase	71.95	46.1	92.55	113.4	76.25	130.45	99.6	106.0	92.8	39.75	72.0	103.25	7.7	78.75	55.95	69.95	53.6	16.2	69.75	126.55	121.2	25.9	35.3	123.2119679	46.09926592	84.26224328	99.89420678	38.06118887	85.02424532	65.58443382	6.581875169	40.51415462	137.6761197
Flt3l	FMS-like tyrosine kinase 3 ligand	97.4	48.9	33.7	58.2	59.7	83.8	25.3	48.4	137.0	58.7	41.0	52.0	122.5	45.2	69.9	37.5	109.7	174.0	97.3	13.5	111.0	36.9	52.9	52.12590322	61.15238961	10.9449192	63.48604406	89.83422432	129.4736009	92.14972871	47.95114612	77.62254914	83.5930904
5430432M24Rik	RIKEN cDNA 5430432M24 gene	89.3	63.9	20.3	61.9	62.7	64.1	85.2	22.1	52.0	38.8	70.7	47.6	78.2	83.7	64.5	88.3	60.8	76.8	20.7	86.4	56.6	32.6	62.7	80.67533855	64.79240947	58.25872256	22.84484949	39.1563485	10.82524808	38.81878965	33.25994027	81.58656851	61.07957003
