		GSM17378	GSM17379	GSM17380	GSM17381	GSM17382	GSM17383	GSM17384	GSM17385	GSM17386	GSM17387	GSM17388	GSM17389	GSM17390	GSM17391	GSM17392	GSM45690	GSM45691	GSM45692	GSM45693	GSM45706	GSM45707	GSM45708	GSM45709	GSM146345	GSM146346	GSM146347	GSM146348	GSM146349	GSM146350	GSM146351	GSM146352	GSM146353	GSM146354
Cnih2	cornichon homolog 2 (Drosophila)	32.1	36.3	35.4	37.5	26.5	37.6	20.5	36.6	41.0	35.3	43.8	38.1	22.6	23.8	31.4	37.7	23.7	36.7	40.2	30.3	34.3	27.3	29.9	21.84457	46.437748	79.34472	79.85131	117.47341	22.611193	39.514286	22.381868	37.908623	39.934162
Cpne6	copine VI	136.0	99.0	74.1	152.6	98.0	39.7	42.8	170.2	117.5	80.1	91.8	145.8	32.0	57.9	67.8	102.7	120.1	42.4	144.2	134.0	67.5	135.2	90.9	71.53417	125.38324	114.17669	188.5005	64.2051	88.685394	64.84833	59.73853	115.47244	125.97333
Ehf	ets homologous factor	30.9	4.9	13.2	3.6	15.9	11.7	5.4	12.3	12.8	9.6	13.8	17.3	4.3	11.8	5.6	10.7	6.2	10.6	19.2	15.5	42.4	7.1	7.2	21.074753	10.001732	6.0731587	6.3153753	6.169082	11.672783	9.005372	25.234516	31.938673	11.391574
Oprd1	opioid receptor, delta 1	20.1	22.4	49.8	15.9	72.3	23.1	56.8	38.9	26.0	17.2	84.9	18.3	14.5	80.9	24.6	16.6	76.0	30.0	60.1	31.0	23.9	85.8	82.0	28.067646	27.21136	25.181168	19.502117	28.135965	25.84413	21.219046	22.332964	31.187147	32.263817
C77370	expressed sequence C77370	5.7	47.1	32.9	43.1	8.0	26.8	22.0	18.3	30.0	54.6	7.8	33.4	29.1	17.1	24.7	11.9	27.9	11.3	4.5	14.2	12.0	35.5	36.0	14.001643	10.864022	16.609938	11.684403	35.57932	31.240265	37.21107	10.311355	35.438885	21.65997
Selp	selectin, platelet	26.2	27.1	21.2	24.2	24.2	27.4	16.9	24.2	25.5	18.2	27.8	34.2	27.2	29.3	23.0	17.3	35.1	28.4	22.3	18.3	20.6	26.4	19.9	82.251274	89.994484	94.09455	185.27228	385.40576	34.384987	101.62643	60.92225	92.4479	22.2266
Indo	indoleamine-pyrrole 2,3 dioxygenase	71.95	46.1	92.55	113.4	76.25	130.45	99.6	106.0	92.8	39.75	72.0	103.25	7.7	78.75	55.95	69.95	53.6	16.2	69.75	126.55	121.2	25.9	35.3	123.21197	46.099266	84.262245	99.8942	38.061188	85.02425	65.584435	6.5818753	40.514156	137.67612
Flt3l	FMS-like tyrosine kinase 3 ligand	97.4	48.9	33.7	58.2	59.7	83.8	25.3	48.4	137.0	58.7	41.0	52.0	122.5	45.2	69.9	37.5	109.7	174.0	97.3	13.5	111.0	36.9	52.9	52.125904	61.15239	10.94492	63.486046	89.83422	129.4736	92.14973	47.951145	77.62255	83.593094
5430432M24Rik	RIKEN cDNA 5430432M24 gene	89.3	63.9	20.3	61.9	62.7	64.1	85.2	22.1	52.0	38.8	70.7	47.6	78.2	83.7	64.5	88.3	60.8	76.8	20.7	86.4	56.6	32.6	62.7	80.67534	64.79241	58.258724	22.844849	39.15635	10.825248	38.81879	33.25994	81.58657	61.07957
Sp1	trans-acting transcription factor 1	124.2	316.0	280.5	247.5	217.8	280.5	219.8	75.5	219.2	114.6	347.8	106.9	9.4	339.0	97.9	218.7	202.4	236.8	255.6	168.3	185.3	226.7	168.1	143.5893	155.10136	165.66351	176.91454	142.23499	157.31314	182.65709	181.17213	168.63542	123.282234
Syt2	synaptotagmin II	36.75	105.55	95.55	133.05	65.35	94.6	54.2	120.75	83.75	93.2	131.3	116.0	113.35	146.2	68.95	90.05	103.85	47.0	117.75	76.85	83.1	108.7	104.45	58.927956	43.8693	52.53275	69.70271	54.93145	109.08647	159.9047	80.147026	136.8279	103.17673
Pglyrp1	peptidoglycan recognition protein 1	18.85	16.9	12.4	10.9	16.55	12.6	17.2	19.2	162.8	11.95	13.1	7.9	44.95	21.3	9.8	11.5	18.4	28.0	22.55	14.7	23.0	12.95	22.7	9.252886	8.014215	8.970322	10.4533	19.200193	9.046093	20.550194	12.660894	21.41643	8.847961
Gpx5	glutathione peroxidase 5	62.35	69.7	70.15	112.5	83.55	73.65	60.25	97.4	96.25	58.8	116.9	111.6	87.9	72.15	78.7	78.85	92.2	34.55	113.5	61.75	78.1	108.95	88.15	79.05836	77.32812	131.40555	36.442627	94.73201	100.56057	105.73574	93.843376	26.335714	81.23756
Alg3	asparagine-linked glycosylation 3 homolog (yeast, alpha-1,3-mannosyltransferase)	540.1	558.0	580.2	676.4	677.95	719.95	600.7	591.55	506.5	493.65	611.0	769.75	549.6	761.1	623.85	521.35	699.95	613.3	669.0	648.95	578.85	580.75	637.6	691.66785	598.3046	533.3996	556.27826	640.6726	537.3458	476.97006	475.8612	508.065	648.366
Phex	phosphate regulating gene with homologies to endopeptidases on the X chromosome (hypophosphatemia, vitamin D resistant rickets)	13.6	15.2	32.9	44.9	4.3	26.5	32.3	37.2	19.6	35.1	5.6	41.4	10.5	24.9	50.2	25.6	45.6	21.1	9.4	50.4	14.3	5.4	42.3	11.932246	27.254002	12.337626	23.110006	17.81371	98.06122	16.125694	11.663129	56.135925	16.808535
Snx2	sorting nexin 2	494.0	536.0	536.0	463.33334	576.4	630.86664	536.0	695.0	646.86664	757.0333	524.1	663.56665	791.6667	559.5333	691.63336	618.2	580.4667	522.9667	474.5	614.8	597.1	531.4667	669.4	488.42184	670.95825	585.9886	620.81915	454.15134	589.19086	731.31946	490.41687	534.8424	404.01205
Cirbp	cold inducible RNA binding protein	698.4	495.0	583.0	425.1	520.2	630.3	479.5	592.5	565.7	598.6	566.8	752.0	532.0	557.7	770.4	529.5	680.5	878.7	577.3	516.9	687.8	403.6	569.0	483.94464	457.5596	372.00305	560.68353	194.01341	1266.024	884.2299	573.17365	340.75342	385.30627
Mc3r	melanocortin 3 receptor	43.2	162.3	119.7	64.2	79.0	148.2	137.2	50.0	95.7	203.8	206.9	165.3	158.0	55.5	132.8	52.3	70.2	44.0	63.0	86.8	108.5	221.2	162.0	154.1258	74.13316	101.694336	189.668	54.669277	53.02831	290.3634	155.80011	280.6493	174.76392
